   , Brunei Darussalam , Indonesia , Malaysia , Philippines , Thailand , Viet Nam , Myanmar , Japan , Hong Kong , China , Taiwan ," Korea, Republic Of ", India , Pakistan , Sri Lanka , Saudi Arabia , Kuwait , UAE , United Kingdom , Germany , France , Italy , Netherlands , Greece , Belgium & Luxembourg , Switzerland , Austria , Scandinavia , CIS & Eastern Europe , USA , Canada , Australia , New Zealand , Africa 
 1986 Oct , na , na , na , na , na , na , na ,"33,250","8,280","1,220","8,367","2,839","22,190","2,576","2,495","1,056",181,587,"14,634","6,791","3,744","2,364","3,843", na ,"1,272","3,155", na ,"5,481","1,801","20,496","3,412","27,847","6,405","1,392"
 1986 Nov , na , na , na , na , na , na , na ,"31,452","7,637","1,222","8,460","2,666","19,550","2,205","2,480","1,052",215,536,"15,549","7,737","4,096","2,654","3,220", na ,"1,681","3,477", na ,"6,207","2,056","19,356","4,203","23,205","5,123","1,534"
 1986 Dec , na , na , na , na , na , na , na ,"34,058","9,446","1,274","11,208","2,510","19,188","2,756","3,423","1,539",295,773,"15,499","7,666","3,039","2,704","3,254", na ,663,"3,838", na ,"5,827","1,570","15,501","2,895","23,434","4,627","1,626"
 1987 Jan , na , na , na , na , na , na , na ,"37,364","12,148","1,214","9,707","2,910","20,406","2,825","2,338","2,764",440,841,"15,442","8,140","3,359","3,447","3,595",966,733,"3,978","1,372","6,666","1,951","15,393","3,284","31,712","5,116","1,752"
 1987 Feb , na , na , na , na , na , na , na ,"44,480","11,581","1,098","17,888","2,603","17,670","2,244","2,145","1,264",240,555,"16,323","6,961","3,482","3,456","3,193",839,904,"3,599","1,159","6,432","2,374","16,167","3,559","19,215","3,382","1,557"
 1987 Mar , na , na , na , na , na , na , na ,"49,124","8,322","1,292","12,078","2,653","19,918","2,669","2,203","1,393",271,775,"20,919","8,302","3,715","3,172","3,282","1,494",753,"3,748","1,425","5,890","3,482","20,154","3,730","22,801","4,666","1,739"
 1987 Apr , na , na , na , na , na , na , na ,"33,680","10,571","1,338","10,984","2,522","22,020","3,020","2,691","1,250",254,884,"17,065","9,319","3,734","2,085","3,550","1,642",884,"3,416","1,431","5,389","2,002","15,827","2,794","24,446","4,944","2,316"
 1987 May , na , na , na , na , na , na , na ,"39,417","8,109","1,214","9,400","3,071","27,002","2,004","2,040",884,229,695,"13,592","6,144","3,523","1,828","3,401",932,806,"2,807",793,"4,394","1,602","16,193","2,564","24,752","7,132","1,907"
 1987 Jun , na , na , na , na , na , na , na ,"40,167","8,928","1,415","8,201","2,643","22,899","3,132","2,055","1,294",341,870,"11,356","5,327","3,303","1,581","3,247","1,255",711,"2,148",612,"4,096","1,591","15,907","2,254","27,587","7,292","2,254"
 1987 Jul , na , na , na , na , na , na , na ,"51,985","13,252","1,833","17,561","3,466","20,616","3,568","2,543","2,912",338,"1,727","14,482","7,335","4,412","2,764","6,016","1,897","1,341","3,367","1,201","4,643","1,788","18,781","2,845","35,010","9,115","2,419"
 1987 Aug , na , na , na , na , na , na , na ,"65,836","16,756","1,766","18,027","3,189","18,855","2,326","2,408","2,534",394,"1,771","17,288","7,258","6,181","7,196","5,463","2,718","1,182","2,496","1,151","3,737","1,964","16,693","2,608","28,615","9,965","3,560"
 1987 Sep , na , na , na , na , na , na , na ,"51,551","8,942","1,435","8,894","2,690","20,916","2,687","2,482","1,610",234,892,"13,968","6,797","3,439","2,801","4,380","1,727","1,412","2,462",874,"4,548","2,298","16,546","2,405","34,304","8,544","3,327"
 1987 Oct , na , na , na , na , na , na , na ,"41,400","8,691","1,121","10,825","3,802","18,602","2,822","2,270","1,054",236,688,"17,881","8,695","4,171","2,675","4,802","1,770","1,520","3,687","1,355","6,312","2,072","23,152","3,900","31,569","6,799","3,349"
 1987 Nov , na , na , na , na , na , na , na ,"44,538","8,186","1,342","11,884","3,903","16,497","2,945","2,249","1,073",268,626,"18,106","10,515","4,523","2,791","3,687","1,469","1,086","4,266","1,784","6,986","3,148","19,697","3,718","23,656","5,202","3,142"
 1987 Dec , na , na , na , na , na , na , na ,"41,857","9,622","1,544","12,914","2,927","18,113","3,274","2,958","1,463",282,749,"18,816","8,526","3,630","3,473","3,579","2,308",878,"4,381","1,648","8,812","1,911","16,859","2,960","26,511","4,350","4,188"
 1988 Jan , na , na , na , na , na , na , na ,"47,375","7,455","1,835","10,703","4,888","17,498","2,805","2,400","1,660",463,992,"20,200","11,531","4,964","5,084","4,503","1,741",906,"5,151","2,317","8,969","2,199","18,790","3,773","33,889","5,477","4,105"
 1988 Feb , na , na , na , na , na , na , na ,"49,459","13,414","1,395","15,421","2,961","16,746","2,582","2,235","2,136",245,640,"21,250","11,137","5,014","5,811","4,304","1,480","1,083","4,675","2,032","8,278","2,480","16,812","3,835","20,456","3,631","3,000"
 1988 Mar , na , na , na , na , na , na , na ,"61,831","9,259","1,326","12,631","4,070","17,094","3,208","2,631","1,466",281,788,"27,566","11,997","5,065","4,824","4,545","2,018","1,394","4,846","1,838","9,185","2,693","19,640","4,076","26,811","5,185","3,021"
 1988 Apr , na , na , na , na , na , na , na ,"49,471","9,662","1,379","10,989","3,929","17,344","2,645","3,242","1,220",233,901,"21,571","9,154","4,665","3,387","4,735","2,281","1,184","4,992","1,468","8,064","2,611","18,239","3,110","27,100","5,126","3,653"
 1988 May , na , na , na , na , na , na , na ,"47,396","7,772","1,397","9,686","3,911","22,143","2,030","2,734","1,097",215,862,"16,660","6,714","4,446","2,789","4,444","1,671","1,062","3,777","1,137","5,665","2,404","16,135","2,620","26,511","7,349","3,272"
 1988 Jun , na , na , na , na , na , na , na ,"53,905","9,633","1,526","8,520","3,661","19,411","3,040","2,409","1,312",318,"1,026","15,078","6,441","3,819","2,837","4,116","1,376",850,"3,302",787,"5,171","2,287","16,682","2,540","31,907","7,097","3,199"
 1988 Jul , na , na , na , na , na , na , na ,"63,908","13,003","1,894","15,353","4,817","15,604","3,900","2,957","3,269",393,"2,247","19,572","9,524","6,370","3,966","7,815","2,146","1,818","5,041","1,710","6,181","1,826","19,452","3,846","35,725","8,085","3,542"
 1988 Aug , na , na , na , na , na , na , na ,"72,860","15,542","2,094","17,816","5,630","14,891","3,201","3,612","2,727",337,"2,088","22,439","9,295","8,538","9,560","7,027","2,751","1,719","3,887","1,543","4,881","2,079","17,855","3,232","30,464","9,847","4,702"
 1988 Sep , na , na , na , na , na , na , na ,"65,745","9,368","2,184","12,173","3,471","14,323","2,653","3,151","1,989",225,"1,066","18,578","8,270","4,325","3,525","6,185","1,612","1,308","3,611","1,334","5,660","2,153","17,005","2,648","35,946","8,289","3,997"
 1988 Oct , na , na , na , na , na , na , na ,"53,939","9,629","1,608","11,206","4,610","16,732","2,739","3,754","1,297",231,761,"24,328","11,613","5,690","3,996","6,332","1,993","1,563","5,659","1,853","7,606","2,449","24,738","4,178","34,012","6,867","4,182"
 1988 Nov , na , na , na , na , na , na , na ,"60,161","9,056","1,931","11,988","6,394","15,527","2,617","3,761","1,144",232,695,"23,856","12,506","6,051","4,128","5,559","2,588","1,723","5,701","1,894","9,115","3,776","23,182","4,652","26,793","5,892","4,591"
 1988 Dec , na , na , na , na , na , na , na ,"56,355","10,270","2,810","15,625","6,546","16,418","2,429","5,323","1,585",262,952,"22,551","10,343","4,148","3,564","4,370","2,281","1,122","5,629","1,523","8,174","3,067","18,236","4,135","31,879","6,238","5,322"
 1989 Jan , na , na , na , na , na , na , na ,"62,896","8,295","2,325","12,365","10,991","15,770","2,669","4,213","2,344",427,988,"23,887","12,564","5,886","5,065","4,927","1,431","1,137","6,217","2,195","8,782","3,236","20,113","4,689","39,146","6,913","5,111"
 1989 Feb , na , na , na , na , na , na , na ,"59,095","15,611","1,754","20,578","6,705","14,214","2,286","3,262","1,438",225,787,"24,292","12,462","5,062","4,867","5,183","1,179","1,394","5,667","2,254","7,534","3,515","18,942","5,120","25,700","4,486","3,498"
 1989 Mar , na , na , na , na , na , na , na ,"75,070","12,338","2,348","15,141","7,107","15,772","2,999","3,925","1,471",251,"1,103","29,448","16,530","5,564","5,486","5,379","1,608","1,433","6,379","1,840","8,482","4,326","22,762","5,355","34,794","5,537","4,742"
 1989 Apr , na , na , na , na , na , na , na ,"55,784","9,384","1,597","15,968","6,187","16,738","2,620","4,591",917,144,835,"24,614","11,729","6,340","3,702","5,031","1,709","1,413","5,618","1,509","6,438","3,483","21,767","4,339","33,289","5,982","3,918"
 1989 May , na , na , na , na , na , na , na ,"57,073","8,871","1,914","14,552","5,480","20,731","2,097","3,876","1,377",253,855,"18,949","9,472","5,231","3,063","5,154","1,754","1,128","4,733","1,100","4,603","3,437","18,140","3,691","32,007","8,152","4,484"
 1989 Jun , na , na , na , na , na , na , na ,"66,188","10,779","1,785","13,076","5,209","18,341","3,027","3,639","1,386",380,"1,023","16,721","7,705","3,944","2,666","4,795","1,124",996,"3,379",870,"4,727","2,903","18,892","3,658","39,638","7,313","3,688"
 1989 Jul , na , na , na , na , na , na , na ,"76,429","15,570","1,714","24,678","7,188","15,326","3,410","3,172","3,476",330,"2,417","21,145","11,248","6,795","4,816","8,583","1,965","2,057","5,475","2,113","6,038","2,648","21,928","4,870","45,147","10,677","4,028"
 1989 Aug , na , na , na , na , na , na , na ,"91,837","19,544","2,413","24,130","8,408","14,473","3,197","3,824","2,432",368,"2,292","24,659","10,945","8,904","10,239","7,429","2,513","1,635","4,249","1,784","4,434","2,796","18,578","3,976","37,501","8,840","5,575"
 1989 Sep , na , na , na , na , na , na , na ,"83,078","11,157","2,101","19,650","5,346","14,611","2,537","4,394","1,946",253,"1,098","19,584","10,571","5,155","3,610","6,934","1,639","1,396","3,954","1,489","5,015","2,689","19,696","3,470","46,065","8,856","4,487"
 1989 Oct , na , na , na , na , na , na , na ,"68,555","11,070","1,703","19,470","7,799","16,299","3,254","5,041","1,330",277,856,"25,053","12,599","6,228","3,801","6,391","1,492","1,513","5,585","1,967","6,999","3,216","25,564","4,798","43,262","7,213","4,695"
 1989 Nov , na , na , na , na , na , na , na ,"71,256","11,330","2,338","19,109","8,078","15,471","2,843","4,861","1,128",318,805,"26,653","13,435","5,321","3,899","6,169","1,412","1,631","5,254","2,656","8,052","3,662","22,546","6,147","35,795","6,302","4,831"
 1989 Dec , na , na , na , na , na , na , na ,"73,975","13,531","2,472","25,087","8,732","16,306","2,935","6,027","1,612",311,920,"26,257","11,323","4,355","3,816","4,889","2,237","1,093","6,019","2,052","8,030","3,397","19,051","5,131","37,874","6,393","5,895"
 1990 Jan , na , na , na , na , na , na , na ,"78,618","14,979","1,995","16,600","14,636","15,533","2,843","4,308","2,482",448,"1,064","25,550","11,858","5,101","5,516","4,921","1,848","1,008","6,279","2,412","8,189","3,561","19,503","5,846","45,110","6,578","4,921"
 1990 Feb , na , na , na , na , na , na , na ,"86,924","14,144","1,535","24,117","10,282","14,458","3,032","3,916","1,279",322,781,"28,514","12,146","5,784","5,020","5,245","1,382","1,348","5,511","2,548","8,152","3,724","21,831","6,070","30,222","4,052","3,644"
 1990 Mar , na , na , na , na , na , na , na ,"93,829","12,261","2,094","20,581","8,017","16,831","3,080","4,132","1,487",302,989,"28,935","14,568","7,413","4,718","5,699","1,572","1,922","5,764","2,510","8,939","4,440","22,981","6,748","33,151","5,396","4,089"
 1990 Apr , na , na , na , na , na , na , na ,"67,686","15,829","1,843","19,240","6,465","17,060","2,193","4,035","1,186",133,854,"27,495","13,186","5,429","3,011","5,206","1,792","1,251","5,326","1,802","6,667","3,792","21,037","4,409","38,808","5,562","4,188"
 1990 May , na , na , na , na , na , na , na ,"65,761","12,970","2,208","16,990","7,006","23,681","2,572","3,320","1,230",206,790,"21,998","8,998","5,973","3,242","5,841","1,338","1,229","3,991","1,582","4,808","4,147","20,982","4,609","33,341","6,843","4,332"
 1990 Jun , na , na , na , na , na , na , na ,"80,669","13,908","2,313","14,550","6,242","20,279","2,826","3,158","1,726",436,"1,081","16,997","7,923","4,332","2,754","4,664","1,244",879,"3,283","1,015","4,392","3,192","21,065","3,622","38,633","6,527","3,611"
 1990 Jul , na , na , na , na , na , na , na ,"84,795","21,375","2,589","22,660","8,465","17,631","3,251","3,165","2,628",538,"2,318","22,890","11,417","7,257","4,615","9,201","1,537","2,174","4,958","1,915","6,769","3,649","23,451","5,127","46,689","6,648","3,962"
 1990 Aug , na , na , na , na , na , na , na ,"99,884","27,105","2,897","22,953","11,246","17,567","2,817","3,798","1,922",121,"2,132","26,254","10,762","9,375","11,085","7,274","2,074","1,909","4,278","1,963","4,828","3,349","20,712","4,202","37,408","8,083","5,360"
 1990 Sep , na , na , na , na , na , na , na ,"81,936","13,749","2,451","14,673","7,021","17,940","2,630","4,089",859,20,793,"20,688","11,196","6,019","5,065","7,396","1,350","1,652","4,438","1,747","5,837","4,140","21,287","3,980","43,988","7,363","4,861"
 1990 Oct , na , na , na , na , na , na , na ,"76,060","15,130","2,231","15,571","8,651","17,748","2,939","3,976",573,18,699,"24,921","13,064","5,584","3,878","7,288","1,100","1,605","5,560","1,885","6,964","4,505","24,218","4,918","39,152","5,289","5,034"
 1990 Nov , na , na , na , na , na , na , na ,"78,973","14,459","2,904","16,081","10,098","17,798","2,374","4,356",623,33,636,"26,215","14,644","5,620","3,690","5,774","1,177","1,825","5,360","2,219","8,203","5,228","22,787","5,809","31,723","4,831","5,597"
 1990 Dec , na , na , na , na , na , na , na ,"76,460","18,229","3,168","20,762","10,297","20,001","2,665","5,589",910,25,905,"26,134","11,324","5,173","3,692","5,336","1,853","1,144","5,650","1,637","8,803","5,474","21,590","5,801","38,335","5,541","6,598"
 1991 Jan , na , na , na , na , na , na , na ,"77,271","11,028","3,035","15,576","18,799","16,340","2,499","4,246",686,13,822,"23,347","12,688","4,924","4,336","5,064","1,233","1,042","5,902","1,940","8,758","4,761","19,219","6,041","39,835","5,056","5,389"
 1991 Feb , na , na , na , na , na , na , na ,"41,290","23,678","2,051","27,281","6,068","14,225","2,758","3,864",719,8,492,"22,913","11,281","4,418","1,996","4,196",727,876,"4,245","1,632","6,164","3,983","15,793","5,108","24,916","3,166","3,194"
 1991 Mar , na , na , na , na , na , na , na ,"48,146","19,561","3,331","19,441","7,419","17,137","2,742","4,388",858,11,845,"26,390","13,782","4,837","2,604","5,269",842,"1,236","4,831","1,520","7,312","4,502","19,236","5,381","28,049","4,339","4,192"
 1991 Apr , na , na , na , na , na , na , na ,"52,736","13,221","2,809","25,818","9,201","18,220","2,459","3,953",922,31,893,"22,573","11,826","5,993","2,763","5,030","1,307","1,256","4,357","1,282","6,068","4,541","19,136","3,911","26,216","4,027","4,442"
 1991 May , na , na , na , na , na , na , na ,"61,403","13,143","2,931","20,897","9,964","24,135","3,121","4,165","1,076",17,867,"19,807","10,347","5,632","2,906","4,932",863,"1,026","3,579","1,221","4,447","4,204","19,847","3,975","24,720","6,089","4,450"
 1991 Jun , na , na , na , na , na , na , na ,"73,972","17,548","2,989","20,094","9,077","19,405","2,879","4,387","1,659",42,"1,337","17,392","8,535","4,362","3,570","5,300",859,"1,001","3,355",943,"5,212","3,444","21,713","3,868","33,307","5,746","3,832"
 1991 Jul , na , na , na , na , na , na , na ,"79,119","22,258","4,054","31,213","13,309","17,116","4,041","4,568","1,105",56,"2,314","22,302","11,473","6,839","5,135","8,494","1,298","1,796","5,002","1,415","6,799","3,133","26,079","4,864","34,342","5,654","4,616"
 1991 Aug , na , na , na , na , na , na , na ,"99,175","30,664","3,426","34,572","18,015","15,482","3,514","5,330","3,130",48,"2,409","24,241","11,876","9,016","11,272","7,009","1,809","1,548","4,139","1,565","4,764","3,562","20,989","4,518","27,356","6,447","4,926"
 1991 Sep , na , na , na , na , na , na , na ,"92,045","15,125","3,596","21,655","8,229","17,266","3,179","5,232","2,514",65,"1,238","21,269","11,997","6,273","5,015","7,236","1,087","1,436","4,295","1,262","5,571","3,367","21,084","3,874","32,618","6,976","4,437"
 1991 Oct , na , na , na , na , na , na , na ,"79,891","14,101","3,946","25,456","9,592","18,555","3,600","4,984","1,179",76,848,"23,279","13,529","6,407","4,419","8,741","1,326","1,766","5,658","1,772","6,384","3,510","23,896","4,860","33,428","4,739","5,181"
 1991 Nov , na , na , na , na , na , na , na ,"79,268","13,948","4,808","20,998","10,740","15,642","3,460","4,949","1,128",77,792,"26,097","13,417","5,965","3,987","5,546","1,169","1,653","6,116","1,799","8,688","3,448","24,168","5,735","29,621","4,891","4,770"
 1991 Dec , na , na , na , na , na , na , na ,"86,966","18,771","5,357","24,078","12,122","16,124","3,511","5,897","1,404",84,937,"25,077","11,551","4,932","3,828","5,391","1,582","1,174","6,208","1,611","9,142","4,029","22,588","6,406","33,548","4,856","6,297"
 1992 Jan , na , na , na , na , na , na , na ,"87,617","13,386","4,784","21,329","22,160","15,123","3,449","4,663","1,785",200,966,"24,302","12,215","5,670","5,325","5,399","1,397","1,275","6,313","1,990","9,619","3,248","24,800","6,833","34,477","4,715","5,568"
 1992 Feb , na , na , na , na , na , na , na ,"90,575","28,979","3,531","39,664","15,344","14,257","3,658","4,551","1,532",144,812,"27,531","12,955","6,088","4,149","4,848","1,087","1,401","5,468","1,913","8,681","2,835","25,525","6,218","27,083","3,631","4,272"
 1992 Mar , na , na , na , na , na , na , na ,"101,245","14,158","4,767","28,755","11,523","15,819","3,077","4,823","1,150",60,849,"28,239","14,144","5,992","3,491","5,992","1,173","1,112","5,391","1,744","8,193","3,382","23,432","5,997","26,839","3,465","3,810"
 1992 Apr , na , na , na , na , na , na , na ,"66,640","18,395","4,238","30,723","10,851","16,553","2,690","5,877","1,554",91,"1,124","28,449","14,265","6,375","2,742","5,850",924,"1,311","5,456","1,661","6,587","3,815","21,332","5,202","29,911","4,547","5,596"
 1992 May , na , na , na , na , na , na , na ,"68,429","15,187","5,341","27,162","9,463","21,715","3,138","5,491",929,104,820,"22,397","10,965","6,043","3,585","5,901",918,"1,366","4,355","1,329","4,592","3,284","23,463","4,375","28,737","5,407","4,644"
 1992 Jun , na , na , na , na , na , na , na ,"82,898","17,449","5,733","30,727","9,171","19,562","2,966","5,874","1,382",85,"1,252","19,703","10,005","4,349","3,413","5,032",873,"1,057","3,302",997,"4,899","2,681","24,503","4,087","29,809","4,942","4,380"
 1992 Jul , na , na , na , na , na , na , na ,"84,131","24,626","6,660","50,620","12,656","17,081","4,419","4,564","2,315",155,"2,427","23,908","12,782","6,827","5,285","8,557","1,340","2,340","5,117","1,507","6,759","2,785","26,005","4,997","40,044","5,875","5,363"
 1992 Aug , na , na , na , na , na , na , na ,"98,442","30,225","8,135","43,275","15,981","15,059","3,317","4,807","3,759",248,"2,504","27,301","12,855","9,110","10,999","8,070","1,896","1,666","4,387","1,507","4,626","2,901","22,680","4,948","31,203","6,483","6,248"
 1992 Sep , na , na , na , na , na , na , na ,"93,411","15,786","8,787","29,361","10,175","15,289","3,163","4,324","2,217",193,"1,024","23,132","13,423","5,392","5,141","7,607","1,310","1,533","4,199","1,193","4,356","2,777","21,327","3,758","38,287","6,535","6,178"
 1992 Oct , na , na , na , na , na , na , na ,"68,361","15,083","9,804","27,430","10,616","16,692","3,669","4,399","1,324",142,859,"25,306","15,607","6,142","4,145","8,598","1,125","1,901","5,658","2,157","6,362","3,563","25,291","5,147","35,923","5,976","6,906"
 1992 Nov , na , na , na , na , na , na , na ,"72,924","17,567","15,125","27,083","13,290","14,340","3,112","3,704","1,246",163,825,"28,347","17,126","6,564","4,728","6,662","1,395","1,880","5,703","1,953","7,878","3,081","25,398","6,201","29,350","5,023","7,524"
 1992 Dec , na , na , na , na , na , na , na ,"86,101","21,747","16,024","29,930","14,306","13,978","3,561","5,016","1,490",198,"1,061","24,694","13,991","5,273","3,565","5,729","1,525","1,455","5,290","1,646","7,884","3,529","23,816","6,146","33,414","5,368","9,197"
 1993 Jan , na , na , na , na , na , na , na ,"76,072","26,893","10,786","34,754","24,326","12,377","3,254","3,190","1,949",289,987,"25,308","14,877","5,437","4,984","5,402","1,144","1,435","5,910","1,779","8,674","3,174","25,047","6,602","35,024","4,987","7,817"
 1993 Feb , na , na , na , na , na , na , na ,"86,940","16,175","14,202","39,598","19,939","12,393","2,820","3,477","1,125",309,670,"26,188","16,342","5,501","4,564","5,228",875,"1,328","5,251","1,899","8,290","3,636","25,585","5,772","24,694","3,469","5,615"
 1993 Mar , na , na , na , na , na , na , na ,"88,952","24,363","19,994","30,124","14,588","13,157","2,381","3,512","1,347",118,"1,203","32,410","17,839","6,049","4,277","5,553","1,059","1,509","5,286","1,688","8,274","4,033","27,794","6,046","25,352","3,948","6,243"
 1993 Apr , na , na , na , na , na , na , na ,"59,401","23,327","25,114","34,372","11,548","16,458","2,958","4,448","1,217",158,"1,071","29,914","15,872","6,078","3,926","6,033","1,449","1,434","4,795","1,882","6,748","3,678","22,888","4,666","28,268","4,673","8,079"
 1993 May , na , na , na , na , na , na , na ,"66,694","14,798","30,038","29,596","12,690","19,301","2,847","3,718","1,256",170,910,"22,767","14,087","5,864","4,040","5,815","1,096","1,309","4,587","1,501","4,464","3,674","26,268","4,624","30,444","5,772","6,925"
 1993 Jun , na , na , na , na , na , na , na ,"81,924","18,194","25,922","31,268","10,661","16,364","3,286","3,479","1,143",220,"1,198","19,929","11,099","4,849","4,068","5,061","1,065","1,188","3,352","1,066","4,711","2,512","23,967","4,137","31,853","5,253","8,442"
 1993 Jul , na , na , na , na , na , na , na ,"86,816","26,968","22,538","52,990","17,573","15,805","4,041","3,958","2,584",315,"2,977","22,916","14,408","7,267","6,213","9,448","1,479","2,418","5,533","1,485","6,979","2,702","26,566","5,060","34,564","5,944","8,290"
 1993 Aug , na , na , na , na , na , na , na ,"108,485","32,159","19,947","50,103","21,098","13,926","3,200","4,781","4,338",393,"2,720","27,908","14,210","9,678","12,293","8,336","2,141","2,016","4,532","1,628","5,312","3,191","23,945","4,840","27,251","6,674","8,350"
 1993 Sep , na , na , na , na , na , na , na ,"95,410","15,291","18,002","28,854","11,323","15,212","2,590","3,889","2,259",204,"1,178","24,139","14,047","5,730","5,754","7,272","1,404","1,652","4,517","1,226","4,902","3,319","22,460","4,130","34,936","6,693","8,967"
 1993 Oct , na , na , na , na , na , na , na ,"75,969","16,712","14,316","31,468","14,992","15,807","3,084","3,892","1,259",167,968,"27,773","19,718","6,217","5,300","8,081","1,014","1,979","6,395","2,105","6,671","3,466","27,099","5,439","33,262","5,301","9,500"
 1993 Nov , na , na , na , na , na , na , na ,"81,683","16,274","12,734","29,831","17,896","14,016","2,994","3,597","1,271",198,864,"27,925","20,560","8,777","4,795","6,350","1,036","1,812","6,439","2,626","7,716","3,963","27,486","6,264","28,181","4,616","8,150"
 1993 Dec , na , na , na , na , na , na , na ,"92,617","21,686","12,130","34,055","21,664","14,851","2,912","5,232","1,403",290,"1,200","23,524","15,111","5,729","4,231","5,999","1,317","1,474","5,904","1,729","7,443","4,802","28,282","6,331","31,296","5,628","11,250"
 1994 Jan , na , na , na , na , na , na , na ,"85,710","13,416","11,211","28,932","38,715","14,270","3,078","3,602","2,174",575,"1,143","24,808","17,747","6,231","5,369","6,637","1,206","1,752","6,254","2,128","8,555","4,732","29,765","6,998","32,693","5,500","10,237"
 1994 Feb , na , na , na , na , na , na , na ,"87,097","31,899","6,527","51,698","22,815","13,354","2,216","3,357",955,288,814,"25,933","16,727","6,450","3,758","5,380",884,"1,377","4,995","1,961","7,708","4,693","29,311","6,433","22,977","3,748","5,640"
 1994 Mar , na , na , na , na , na , na , na ,"117,167","19,868","10,806","35,768","25,732","13,013","2,649","3,648","1,717",336,"1,294","28,911","22,763","6,345","3,793","6,224","1,096","2,155","5,521","2,374","9,233","5,065","33,940","7,001","27,478","4,849","8,913"
 1994 Apr , na , na , na , na , na , na , na ,"73,250","22,520","11,653","45,257","20,376","15,167","2,867","4,719","1,117",263,"1,117","26,652","18,112","7,730","3,081","5,353","1,158","1,692","5,301","1,568","6,806","4,887","26,579","5,143","27,895","5,453","9,369"
 1994 May , na , na , na , na , na , na , na ,"82,701","16,741","13,115","31,167","20,564","17,801","2,769","3,842","1,783",202,"1,037","20,993","13,429","6,057","3,297","5,058","1,044","1,404","4,111","1,564","4,322","3,587","27,787","4,312","25,648","6,975","6,117"
 1994 Jun , na , na , na , na , na , na , na ,"81,871","22,411","11,915","35,557","16,201","16,498","3,139","3,419",908,286,"1,362","18,610","10,157","4,457","3,339","4,501",968,"1,187","3,014","1,004","5,377","3,774","26,603","4,107","28,987","5,729","6,622"
 1994 Jul , na , na , na , na , na , na , na ,"90,550","28,985","14,332","63,355","24,121","14,677","4,562","3,923","2,621",408,"2,915","24,964","14,992","7,194","4,941","8,635","1,487","2,587","5,129","1,779","8,210","3,490","29,755","5,128","35,183","6,441","9,268"
 1994 Aug , na , na , na , na , na , na , na ,"117,169","37,265","14,910","65,536","32,319","14,024","3,510","3,871","4,294",505,"2,829","28,642","14,334","8,814","9,489","7,375","2,509","2,029","4,162","1,602","5,139","3,915","29,534","4,873","27,014","7,112","8,370"
 1994 Sep , na , na , na , na , na , na , na ,"104,928","17,766","13,971","40,817","18,023","14,002","3,005","3,844","2,095",332,"1,401","24,635","15,116","5,783","4,606","7,729","1,279","1,670","4,153","1,451","5,177","3,303","24,680","3,744","33,102","7,019","8,227"
 1994 Oct , na , na , na , na , na , na , na ,"81,115","17,546","17,561","40,352","17,392","13,413","3,431","4,108","1,116",232,"1,039","28,246","19,330","6,869","4,468","7,567","1,146","2,022","6,095","1,616","7,341","4,086","29,385","5,159","30,986","6,094","9,669"
 1994 Nov , na , na , na , na , na , na , na ,"93,271","17,980","20,308","32,974","22,825","12,673","3,643","3,829","1,105",276,"1,063","25,957","20,155","6,222","3,978","5,849","1,189","2,219","6,427","2,509","7,934","4,905","28,156","6,558","25,270","4,955","7,879"
 1994 Dec , na , na , na , na , na , na , na ,"94,400","24,375","18,577","39,366","30,443","14,905","3,960","5,369","1,257",290,"1,284","23,633","13,118","5,046","3,411","5,604","1,345","1,534","4,956","1,821","7,069","4,881","28,183","6,042","30,129","5,176","10,381"
 1995 Jan , na , na , na , na , na , na , na ,"92,230","19,903","13,705","37,639","49,998","13,072","3,449","3,658","1,553",339,"1,126","23,360","15,986","5,869","3,773","5,460","1,051","1,406","5,213","1,980","7,697","5,087","28,996","6,000","32,518","5,451","9,252"
 1995 Feb , na , na , na , na , na , na , na ,"85,093","29,260","13,318","64,140","37,299","12,606","2,503","3,416",736,143,861,"23,222","15,470","6,200","3,277","4,866",974,"1,306","4,774","1,889","7,662","4,530","27,038","5,525","22,190","3,654","5,290"
 1995 Mar , na , na , na , na , na , na , na ,"111,035","18,362","17,417","37,507","32,902","13,430","3,609","3,767","1,238",278,"1,417","26,669","18,645","6,172","3,536","5,443","1,078","1,347","4,467","1,884","7,833","4,733","31,758","6,210","25,574","4,395","7,011"
 1995 Apr , na , na , na , na , na , na , na ,"71,601","26,795","16,343","48,125","20,974","15,414","3,760","5,106",939,192,"1,061","25,412","18,473","6,351","2,697","5,045","1,132","1,454","4,500","1,709","6,851","4,321","25,322","4,604","26,000","5,208","8,242"
 1995 May , na , na , na , na , na , na , na ,"83,667","17,561","18,504","34,425","19,977","20,001","3,329","3,681","1,223",259,"1,073","19,662","13,115","6,148","3,213","5,290",803,"1,347","3,641","1,448","4,419","3,306","27,649","4,596","26,309","6,192","6,059"
 1995 Jun , na , na , na , na , na , na , na ,"93,032","20,316","15,444","44,205","16,830","17,585","4,313","3,493",881,330,"1,281","17,860","11,500","4,732","2,919","4,983",922,"1,167","2,812","1,084","5,465","2,754","29,147","4,167","27,060","5,552","5,622"
 1995 Jul , na , na , na , na , na , na , na ,"108,994","29,689","16,714","73,752","29,491","16,218","6,371","3,943","2,631",425,"2,610","23,153","14,534","7,183","4,886","8,024","1,282","2,307","4,956","1,609","7,214","3,371","29,992","5,385","33,448","6,447","7,087"
